latitude,longitude,depth_km,zone
32.25,132.10000000000014,22.68,1
32.25,132.21000000000015,20.39,1
32.25,132.32000000000016,18.1,1
32.25,132.43000000000018,15.81,1
32.25,132.5400000000002,13.52,1
32.25,132.6500000000002,11.23,1
32.25,132.76000000000022,10.0,1
32.25,132.87000000000023,10.0,1
32.25,132.98000000000025,10.07,1
32.25,133.09000000000026,10.19,1
32.25,133.20000000000027,10.32,1
32.25,133.3100000000003,10.44,1
32.25,133.4200000000003,10.57,1
32.25,133.5300000000003,10.69,1
32.25,133.64000000000033,10.82,1
32.25,133.75000000000034,10.94,1
32.25,133.86000000000035,11.07,1
32.25,133.97000000000037,11.19,1
32.25,134.08000000000038,11.32,1
32.25,134.1900000000004,11.44,1
32.25,134.3000000000004,11.47,1
32.25,134.41000000000042,10.89,1
32.25,134.52000000000044,10.26,1
32.25,134.63000000000045,15.05,1
32.339999999999996,131.99000000000012,25.75,1
32.339999999999996,132.10000000000014,23.46,1
32.339999999999996,132.21000000000015,21.17,1
32.339999999999996,132.32000000000016,18.88,1
32.339999999999996,132.43000000000018,16.59,1
32.339999999999996,132.5400000000002,14.3,1
32.339999999999996,132.6500000000002,14.85,1
32.339999999999996,132.76000000000022,10.92,1
32.339999999999996,132.87000000000023,11.04,1
32.339999999999996,132.98000000000025,11.17,1
32.339999999999996,133.09000000000026,11.29,1
32.339999999999996,133.20000000000027,11.42,1
32.339999999999996,133.3100000000003,11.55,1
32.339999999999996,133.4200000000003,11.67,1
32.339999999999996,133.5300000000003,11.8,1
32.339999999999996,133.64000000000033,11.92,1
32.339999999999996,133.75000000000034,12.05,1
32.339999999999996,133.86000000000035,12.17,1
32.339999999999996,133.97000000000037,12.3,1
32.339999999999996,134.08000000000038,12.42,1
32.339999999999996,134.1900000000004,12.55,1
32.339999999999996,134.3000000000004,12.37,1
32.339999999999996,134.41000000000042,11.75,1
32.339999999999996,134.52000000000044,11.12,1
32.339999999999996,134.63000000000045,10.48,1
32.339999999999996,134.74000000000046,12.0,1
32.339999999999996,134.85000000000048,20.47,1
32.42999999999999,132.10000000000014,24.24,1
32.42999999999999,132.21000000000015,21.94,1
32.42999999999999,132.32000000000016,19.65,1
32.42999999999999,132.43000000000018,20.19,1
32.42999999999999,132.5400000000002,20.85,1
32.42999999999999,132.6500000000002,16.59,1
32.42999999999999,132.76000000000022,12.46,1
32.42999999999999,132.87000000000023,12.15,1
32.42999999999999,132.98000000000025,12.27,1
32.42999999999999,133.09000000000026,12.4,1
32.42999999999999,133.20000000000027,12.52,1
32.42999999999999,133.3100000000003,12.65,1
32.42999999999999,133.4200000000003,12.77,1
32.42999999999999,133.5300000000003,12.9,1
32.42999999999999,133.64000000000033,13.02,1
32.42999999999999,133.75000000000034,13.15,1
32.42999999999999,133.86000000000035,13.27,1
32.42999999999999,133.97000000000037,13.4,1
32.42999999999999,134.08000000000038,13.52,1
32.42999999999999,134.1900000000004,13.62,1
32.42999999999999,134.3000000000004,13.25,1
32.42999999999999,134.41000000000042,12.62,1
32.42999999999999,134.52000000000044,11.98,1
32.42999999999999,134.63000000000045,11.35,1
32.42999999999999,134.74000000000046,10.71,1
32.42999999999999,134.85000000000048,10.08,1
32.42999999999999,134.9600000000005,17.42,1
32.42999999999999,135.0700000000005,25.9,1
32.519999999999996,132.21000000000015,25.52,1
32.519999999999996,132.32000000000016,26.19,1
32.519999999999996,132.43000000000018,26.85,1
32.519999999999996,132.5400000000002,25.23,1
32.519999999999996,132.6500000000002,17.72,1
32.519999999999996,132.76000000000022,14.13,1
32.519999999999996,132.87000000000023,13.25,1
32.519999999999996,132.98000000000025,13.38,1
32.519999999999996,133.09000000000026,13.5,1
32.519999999999996,133.20000000000027,13.63,1
32.519999999999996,133.3100000000003,13.75,1
32.519999999999996,133.4200000000003,13.88,1
32.519999999999996,133.5300000000003,14.0,1
32.519999999999996,133.64000000000033,14.13,1
32.519999999999996,133.75000000000034,14.25,1
32.519999999999996,133.86000000000035,14.38,1
32.519999999999996,133.97000000000037,14.5,1
32.519999999999996,134.08000000000038,14.63,1
32.519999999999996,134.1900000000004,14.53,1
32.519999999999996,134.3000000000004,14.12,1
32.519999999999996,134.41000000000042,13.48,1
32.519999999999996,134.52000000000044,12.85,1
32.519999999999996,134.63000000000045,12.21,1
32.519999999999996,134.74000000000046,11.58,1
32.519999999999996,134.85000000000048,10.94,1
32.519999999999996,134.9600000000005,10.31,1
32.519999999999996,135.0700000000005,14.37,1
32.61,132.32000000000016,24.38,1
32.61,132.43000000000018,27.99,1
32.61,132.5400000000002,26.36,1
32.61,132.6500000000002,18.85,1
32.61,132.76000000000022,15.79,1
32.61,132.87000000000023,14.48,1
32.61,132.98000000000025,14.48,1
32.61,133.09000000000026,14.61,1
32.61,133.20000000000027,14.73,1
32.61,133.3100000000003,14.86,1
32.61,133.4200000000003,14.98,1
32.61,133.5300000000003,15.11,1
32.61,133.64000000000033,15.23,1
32.61,133.75000000000034,15.36,1
32.61,133.86000000000035,15.48,1
32.61,133.97000000000037,15.61,1
32.61,134.08000000000038,15.73,1
32.61,134.1900000000004,15.43,1
32.61,134.3000000000004,14.98,1
32.61,134.41000000000042,14.34,1
32.61,134.52000000000044,13.71,1
32.61,134.63000000000045,13.07,1
32.61,134.74000000000046,12.44,1
32.61,134.85000000000048,11.81,1
32.61,134.9600000000005,11.17,1
32.61,135.0700000000005,10.54,1
32.61,135.18000000000052,11.32,1
32.699999999999996,132.43000000000018,30.0,1
32.699999999999996,132.5400000000002,27.49,1
32.699999999999996,132.6500000000002,19.98,1
32.699999999999996,132.76000000000022,17.46,1
32.699999999999996,132.87000000000023,16.14,1
32.699999999999996,132.98000000000025,15.58,1
32.699999999999996,133.09000000000026,15.71,1
32.699999999999996,133.20000000000027,15.83,1
32.699999999999996,133.3100000000003,15.96,1
32.699999999999996,133.4200000000003,16.08,1
32.699999999999996,133.5300000000003,16.21,1
32.699999999999996,133.64000000000033,16.34,1
32.699999999999996,133.75000000000034,16.46,1
32.699999999999996,133.86000000000035,16.59,1
